value,timestamp
" 0.000",2018-02-01T18:00:05.000Z
" 0.000",2018-02-01T18:00:08.000Z
" 0.000",2018-02-01T18:00:12.000Z
" 0.000",2018-02-01T18:00:16.000Z
" 0.000",2018-02-01T18:00:19.000Z
" 0.001",2018-02-01T18:00:23.000Z
" 0.001",2018-02-01T18:00:27.000Z
" 0.001",2018-02-01T18:00:30.000Z
" 0.000",2018-02-01T18:00:44.000Z
" 0.000",2018-02-01T18:00:37.000Z
" 0.000",2018-02-01T18:00:48.000Z
" 0.000",2018-02-01T18:00:52.000Z
" 0.000",2018-02-01T18:00:41.000Z
" 0.001",2018-02-01T18:00:59.000Z
" 0.001",2018-02-01T18:01:03.000Z
" 0.001",2018-02-01T18:01:10.000Z
" 0.001",2018-02-01T18:01:14.000Z
" 0.001",2018-02-01T18:01:18.000Z
" 0.001",2018-02-01T18:05:11.000Z
" 0.002",2018-02-01T18:05:14.000Z
" 0.006",2018-02-01T18:05:22.000Z
" 0.008",2018-02-01T18:05:25.000Z
" 0.010",2018-02-01T18:05:29.000Z
" 0.014",2018-02-01T18:05:36.000Z
" 0.016",2018-02-01T18:05:40.000Z
" 0.018",2018-02-01T18:05:44.000Z
" 0.020",2018-02-01T18:05:47.000Z
" 0.023",2018-02-01T18:05:51.000Z
" 0.026",2018-02-01T18:05:55.000Z
" 0.028",2018-02-01T18:05:59.000Z
" 0.030",2018-02-01T18:06:02.000Z
" 0.032",2018-02-01T18:06:06.000Z
" 0.034",2018-02-01T18:06:10.000Z
" 0.036",2018-02-01T18:06:13.000Z
" 0.038",2018-02-01T18:06:17.000Z
" 0.040",2018-02-01T18:06:21.000Z
" 0.043",2018-02-01T18:06:24.000Z
" 0.045",2018-02-01T18:06:28.000Z
" 0.047",2018-02-01T18:06:32.000Z
" 0.049",2018-02-01T18:06:36.000Z
" 0.055",2018-02-01T18:06:47.000Z
" 0.057",2018-02-01T18:06:50.000Z
" 0.059",2018-02-01T18:06:54.000Z
" 0.060",2018-02-01T18:06:58.000Z
" 0.063",2018-02-01T18:07:01.000Z
" 0.064",2018-02-01T18:07:05.000Z
" 0.069",2018-02-01T18:07:13.000Z
" 0.066",2018-02-01T18:07:09.000Z
" 0.070",2018-02-01T18:07:16.000Z
" 0.072",2018-02-01T18:07:20.000Z
" 0.074",2018-02-01T18:07:24.000Z
" 0.076",2018-02-01T18:07:27.000Z
" 0.080",2018-02-01T18:07:35.000Z
" 0.084",2018-02-01T18:07:42.000Z
" 0.082",2018-02-01T18:07:38.000Z
" 0.085",2018-02-01T18:07:46.000Z
" 0.087",2018-02-01T18:07:50.000Z
" 0.089",2018-02-01T18:07:53.000Z
" 0.091",2018-02-01T18:07:57.000Z
" 0.092",2018-02-01T18:08:01.000Z
" 0.095",2018-02-01T18:08:04.000Z
" 0.097",2018-02-01T18:08:08.000Z
" 0.098",2018-02-01T18:08:12.000Z
" 0.102",2018-02-01T18:08:19.000Z
" 0.104",2018-02-01T18:08:23.000Z
" 0.105",2018-02-01T18:08:27.000Z
" 0.100",2018-02-01T18:08:15.000Z
" 0.107",2018-02-01T18:08:30.000Z
" 0.109",2018-02-01T18:08:34.000Z
" 0.111",2018-02-01T18:08:38.000Z
